sample,latitude,longitude,dist_coast,dist_ocean,elevation
ERR2919706,-63.906083,-57.840183,1346.424956,1346.424956,100.125
ERR2919719,-63.8933,-57.9298,4018.406904,4018.406904,100.171875
ERR2919720,-63.8933,-57.9298,4018.406904,4018.406904,100.171875
ERR2919721,-63.8933,-57.9298,4018.406904,4018.406904,100.171875
ERR2660616,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660617,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660618,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660619,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660620,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660621,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660622,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660624,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660625,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660627,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660628,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660629,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660630,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660631,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660632,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
ERR2660633,-77.4666648,162.5166646,26160.72333,26160.72333,362.7421875
BO.17.01,-54.445,3.404,1754780.241,1754780.241,
BO.17.03,-54.445,3.404,1754780.241,1754780.241,
BO.17.13,-54.445,3.404,1754780.241,1754780.241,
BO.17.27,-54.445,3.404,1754780.241,1754780.241,
CR.16.175,-46.39116,51.80608,2312116.274,2312116.274,
CR.16.191,-46.43134,51.85979,2306899.324,2306899.324,
CR.16.82,-46.4357,51.83424,2306439.461,2306439.461,
DR.17.138,-56.51336,-68.72871,828413.5334,828413.5334,
DR.17.74.2,-56.51255,-68.72959,828524.0363,828524.0363,
KER.16.186,-49.34361,70.06525,2150050.576,2150050.576,
KER.16.187,-49.3541,70.01931,2147689.363,2147689.363,
MAC.17.02,-73.23471,-126.76921,4789.435992,4789.435992,-2.6328125
MAC.17.03,-73.23436,-126.77721,4693.964035,4693.964035,25.5625
MAC.17.04,-73.19804,-127.05265,9324.989858,9324.989858,6.015625
MAC.17.05,-73.19803,-127.05704,9383.312745,9383.312745,-17.4296875
MAC.17.06,-73.54043,-127.445,67.4547883,67.4547883,79.3671875
MAC.17.07,-73.54047,-127.44504,65.75713168,65.75713168,79.3671875
MAC.17.08,-73.54041,-127.44522,74.29068061,74.29068061,79.3671875
MAC.17.09.a,-73.54041,-127.44522,74.29068061,74.29068061,79.3671875
MAC.17.09.b,-73.54041,-127.44522,74.29068061,74.29068061,79.3671875
MAC.17.09.c,-73.54041,-127.44522,74.29068061,74.29068061,79.3671875
MAC.17.20.b,-73.54089,-127.42231,199.7247552,199.7247552,90.8359375
MAR.16.132,-46.89094,37.79452,2431404.571,2431404.571,
PET.17.01,-68.8153,-90.7321,396310.7428,396310.7428,-13
SC.17.01,-67.379,-179.912,584368.4966,584368.4966,
SC.17.02,-67.379,-179.912,584368.4966,584368.4966,
SC.17.03,-67.379,-179.912,584368.4966,584368.4966,
SC.17.04,-67.379,-179.912,584368.4966,584368.4966,
SC.17.05,-67.379,-179.912,584368.4966,584368.4966,
SC.17.06,-67.379,-179.912,584368.4966,584368.4966,
SG.17.103,-54.266,-36.502,906499.8362,906499.8362,155.3515625
SG.17.111,-54.262,-36.502,906913.9628,906913.9628,106.71875
SG.17.91,-54.272,-36.516,905389.3662,905389.3662,305
SG.17.95,-54.262,-36.504,906844.0694,906844.0694,110.40625
SG.17.99,-54.263,-36.505,906705.5799,906705.5799,113.015625
SRR16996395,-62.16527778,-58.96777778,104.2997504,104.2997504,26.7578125
SRR16996396,-62.18777778,-58.9175,491.5375095,491.5375095,50.5234375
SRR16996397,-62.17388889,-58.9525,966.7180528,966.7180528,66.1015625
SRR16996398,-62.18222222,-58.97777778,289.1454349,289.1454349,59.703125
SRR16996399,-62.17972222,-58.91861111,1316.156233,1316.156233,72.5390625
SRR16996400,-62.17055556,-58.94361111,1086.499446,1086.499446,65.0390625
SRR16996401,-62.17388889,-58.9525,966.7180528,966.7180528,66.1015625
SRR16996402,-62.17722222,-58.97833333,219.2585884,219.2585884,28.5390625
SRR16996403,-62.18222222,-58.97777778,289.1454349,289.1454349,59.703125
