"latitude" "longitude"
"110" -66.27819 110.53568
"111" -66.28093 110.51998
"112" -67.60029 62.86214
"113" -69.3654 76.13505
"114" -69.3654 76.13505
"115" -68.83048 77.71918
"12" -69.39658 76.38214
"121" -73.45122222 62.01372222
"123" -73.01216667 66.44508333
"125" -73.43227778 62.15572222
"132" -73.42052778 61.87758333
"133" -73.32711111 68.38461111
"136" -70.53330556 68.01402778
"137" -70.53402778 69.00816667
"138" -70.48722222 72.49277778
"139" -71.51130556 67.39413889
"14" -70.50944444 72.52658333
"140" -70.53052778 67.83322222
"141" -70.55036111 68.0405
"142" -70.52155556 68.04230556
"143" -70.54905556 67.98361111
"144" -74.29038889 66.79472222
"145" -70.82922222 68.17683333
"146" -71.40555556 68.00644444
"147" -70.80922222 68.00869444
"148" -73.48366667 68.41611111
"149" -73.30438889 68.39880556
"150" -73.30852778 68.50216667
"151" -73.32833333 68.35427778
"152" -70.45283333 64.58805556
"154" -73.30033333 68.46580556
"155" -73.32466667 68.31644444
"156" -73.41294444 68.28497222
"157" -71.19305556 67.79233333
"16" -67.60308 62.86428
"160" -73.31605556 68.35580556
"161" -70.46741667 64.93436111
"163" -70.42438889 68.80819444
"164" -70.54425 68.80011111
"165" -71.22233333 67.7265
"166" -73.27755556 68.39655556
"167" -73.31933333 68.41122222
"168" -70.81216667 68.06780556
"17" -68.82537 77.67931
"170" -73.30191667 68.44172222
"171" -73.29866667 68.24469444
"172" -70.8285 68.21266667
"173" -70.62827778 67.55577778
"174" -70.84486111 68.07127778
"175" -73.30561111 68.48725
"176" -73.31011111 68.45119444
"177" -72.81958333 68.04180556
"178" -73.31077778 68.50369444
"179" -71.48472222 67.75044444
"18" -70.45661111 72.54041667
"180" -73.30580556 68.42333333
"181" -73.63802778 68.47008333
"182" -73.0740555555556 68.0681111111111
"183" -66.28009 110.5221
"184" -72.5236388888889 68.3570555555556
"186" -72.9237222222222 68.1415
"187" -72.9237222222222 68.1415
"188" -71.1985833333333 67.16525
"189" -71.1973055555556 66.3915555555556
"19" -67.60409 62.87266
"20" -68.82444 77.69951
"21" -73.39647222 65.60961111
"22" -73.30816667 68.40577778
"23" -73.30383333 68.46058333
"25" -69.70967 73.74583
"26" -73.01986111 66.46980556
"27" -68.85573 77.93426
"29" -70.505 72.60369444
"3" -70.53527778 68.24388889
"30" -70.54897222 67.80544444
"31" -73.64388889 68.52966667
"32" -69.37552 76.38286
"33" -69.38658 76.32887
"34" -67.76826 62.81809
"35" -70.52297222 67.86791667
"36" -70.57547222 67.98147222
"38" -73.40972222 62.205
"39" -69.37974 76.37732
"40" -68.85405 77.93672
"41" -70.54216667 67.88077778
"42" -73.30466667 68.44975
"43" -70.54383333 67.90611111
"44" -68.58156 78.23908
"45" -68.85275 77.94259
"46" -68.479 78.4241
"47" -67.60406 62.86996
"48" -70.52505556 67.79802778
"49" -73.31658333 68.42675
"50" -73.40025 62.05369444
